,,mean,mean,std,std
,,acc,loss,acc,loss
shuttle,isotonic,0.978048270845,0.0634846078715,0.000834895608309,0.00215433733749
shuttle,sigmoid,0.968480778214,0.0926625307309,0.00110913852813,0.00249921822058
sonar,None,0.775238095238,0.486425423721,0.0565591371823,0.101223605053
sonar,beta,0.766515139238,0.469505416608,0.0583011822999,0.0562862420652
sonar,beta05,0.772776382249,0.469489653045,0.0649282707334,0.05488297367
sonar,beta2,0.769475731302,0.474736923555,0.0594658865586,0.0540297489917
sonar,isotonic,0.772775842044,0.533150971068,0.058447419766,0.255406986317
sonar,sigmoid,0.774772978959,0.479271348044,0.0598814924206,0.0541061600174
spambase,None,0.925493106679,0.225862162213,0.00843119805031,0.0258732998576
spambase,beta,0.928580208625,0.213892244197,0.00860474021757,0.018280531558
spambase,beta05,0.925623588875,0.218513501075,0.00808041824839,0.0187286054714
spambase,beta2,0.924384716901,0.226843947662,0.00830932590694,0.0227499408725
spambase,isotonic,0.928906177819,0.215303887259,0.00858766516222,0.0329318628551
spambase,sigmoid,0.926232048951,0.21059271272,0.0086192741422,0.0187873815191
tic-tac,None,0.684131632667,0.623483838579,0.0208026784501,0.0167298657664
tic-tac,beta,0.678899257612,0.621996619708,0.0170999671743,0.012554432704
tic-tac,beta05,0.684436542626,0.622816865788,0.0222061102805,0.0136823863402
tic-tac,beta2,0.671699106602,0.622614778116,0.0160844959154,0.0126786187506
tic-tac,isotonic,0.686422208583,0.647148905535,0.0233943387389,0.0932098191448
tic-tac,sigmoid,0.676500118118,0.622764754095,0.0184704597938,0.0125882303197
vehicle,None,0.952014009678,0.164044730726,0.0177624355853,0.0267488477301
vehicle,beta,0.951313076047,0.139995930406,0.0164552485316,0.0389091862324
vehicle,beta05,0.951783605824,0.143335988443,0.0180531005553,0.0411219975991
vehicle,beta2,0.951662535956,0.142683238805,0.0170563481431,0.0417902728054
vehicle,isotonic,0.949777970863,0.215777509686,0.0161524524392,0.143425950006
vehicle,sigmoid,0.951895699636,0.13994071317,0.0170420136601,0.0364912742177
vowel,None,0.941616161616,0.156965943464,0.0105625340025,0.0192267256227
vowel,beta,0.946565656566,0.150844215539,0.0113204359903,0.025049801171
vowel,beta05,0.941414141414,0.15150967936,0.0108465341835,0.0234717910997
vowel,beta2,0.945757575758,0.153584305817,0.0113992547445,0.0270827052568
vowel,isotonic,0.952828282828,0.172658884555,0.0113443226696,0.104284796157
vowel,sigmoid,0.947171717172,0.15325364411,0.011687866309,0.0244073419187
waveform-5000,None,0.852198221178,0.313225323864,0.0110014771437,0.0172537327465
waveform-5000,beta,0.854119042399,0.305241126679,0.0114998830678,0.0157812682319
waveform-5000,beta05,0.851998521119,0.308174847189,0.0108421214899,0.015290310512
waveform-5000,beta2,0.851978561079,0.31317060468,0.0110880697458,0.0164739886876
waveform-5000,isotonic,0.853578921719,0.316796948134,0.0123043847168,0.0293904888971
waveform-5000,sigmoid,0.848018877359,0.332239165566,0.0114131339486,0.0181267297365
wdbc,None,0.977132743363,0.0785457182514,0.0128031112602,0.0301398573403
wdbc,beta,0.978356290881,0.0741894599115,0.0114350911737,0.036634850955
wdbc,beta05,0.977660638707,0.0741180497587,0.0119431134074,0.0354909489046
wdbc,beta2,0.976775682955,0.0781596686711,0.0130636597716,0.0396491388199
wdbc,isotonic,0.978194690265,0.135549176895,0.011535860783,0.168516222597
wdbc,sigmoid,0.976778761062,0.0769167082293,0.0125552085998,0.0365343541354
wpbc,None,0.787727395412,0.47201531825,0.0485523247564,0.0669533049286
wpbc,beta,0.793896761134,0.466810850803,0.0367726732951,0.0508601347803
wpbc,beta05,0.789309041835,0.474474152074,0.0457519240043,0.0579487419686
wpbc,beta2,0.79021120108,0.467198173708,0.0369879291268,0.0468298266427
wpbc,isotonic,0.788177462888,0.569562318143,0.0438114835674,0.317798791013
wpbc,sigmoid,0.792777327935,0.470951025991,0.0346780689496,0.0478761745208
yeast,None,0.678618326965,0.54940564564,0.0195719574813,0.0235740076903
yeast,beta,0.678889733195,0.544616548955,0.0203010232051,0.0230195523512
